symbol,status,data_rows,features_used,targets_cached
INVE-B.ST,Success,2790,50,7% and 10%
ATCO-A.ST,Success,2790,50,7% and 10%
VOLV-B.ST,Success,2790,50,7% and 10%
SAND.ST,Success,2790,50,7% and 10%
ASSA-B.ST,Success,2790,50,7% and 10%
SEB-A.ST,Success,2790,50,7% and 10%
SWED-A.ST,Success,2790,50,7% and 10%
ERIC-B.ST,Success,2790,50,7% and 10%
SHB-A.ST,Success,2790,50,7% and 10%
HEXA-B.ST,Success,2790,50,7% and 10%
EVO.ST,Success,2736,50,7% and 10%
AZN.ST,Success,2790,50,7% and 10%
ALFA.ST,Success,2790,50,7% and 10%
EQT.ST,Success,1601,50,7% and 10%
HM-B.ST,Success,2790,50,7% and 10%
NIBE-B.ST,Success,2790,50,7% and 10%
ESSITY-B.ST,Success,2173,50,7% and 10%
EPI-A.ST,Success,1918,50,7% and 10%
BOL.ST,Success,2790,50,7% and 10%
SAAB-B.ST,Success,2790,50,7% and 10%
NDA-SE.ST,Success,2790,50,7% and 10%
TELIA.ST,Success,2790,50,7% and 10%
SCA-B.ST,Success,2790,50,7% and 10%
SKA-B.ST,Success,2790,50,7% and 10%
TEL2-B.ST,Success,2790,50,7% and 10%
SKF-B.ST,Success,2790,50,7% and 10%
GETI-B.ST,Success,2790,50,7% and 10%
CAST.ST,Success,2790,50,7% and 10%
LIFCO-B.ST,Success,2790,50,7% and 10%
INDU-C.ST,Success,2790,50,7% and 10%
SAGA-B.ST,Success,2790,50,7% and 10%
BEIJ-B.ST,Success,2790,50,7% and 10%
LUND-B.ST,Success,2790,50,7% and 10%
INDT.ST,Success,2790,50,7% and 10%
TREL-B.ST,Success,2790,50,7% and 10%
ADDT-B.ST,Success,2790,50,7% and 10%
ALIV-SDB.ST,Success,2790,50,7% and 10%
HOLM-B.ST,Success,2790,50,7% and 10%
BILL.ST,Success,2790,50,7% and 10%
AFRY.ST,Success,2790,50,7% and 10%
FABG.ST,Success,2790,50,7% and 10%
WIHL.ST,Success,2790,50,7% and 10%
BALD-B.ST,Success,2790,50,7% and 10%
AXFO.ST,Success,2790,50,7% and 10%
SECU-B.ST,Success,2790,50,7% and 10%
EKTA-B.ST,Success,2790,50,7% and 10%
HUSQ-B.ST,Success,2790,50,7% and 10%
AAK.ST,Success,2790,50,7% and 10%
SSAB-B.ST,Success,2790,50,7% and 10%
ELUX-B.ST,Success,2790,50,7% and 10%
THULE.ST,Success,2790,50,7% and 10%
SOBI.ST,Success,2790,50,7% and 10%
LOOMIS.ST,Success,2790,50,7% and 10%
MYCR.ST,Success,2790,50,7% and 10%
VITR.ST,Success,2790,50,7% and 10%
SECT-B.ST,Success,2790,50,7% and 10%
LAGR-B.ST,Success,2790,50,7% and 10%
BURE.ST,Success,2790,50,7% and 10%
HMS.ST,Success,2790,50,7% and 10%
NEWA-B.ST,Success,2790,50,7% and 10%
PEAB-B.ST,Success,2790,50,7% and 10%
LATO-B.ST,Success,2790,50,7% and 10%
VPLAY-B.ST,Success,1720,50,7% and 10%
WALL-B.ST,Success,2790,50,7% and 10%
CORE-B.ST,Success,2044,50,7% and 10%
DIOS.ST,Success,2790,50,7% and 10%
HEM.ST,Success,1204,50,7% and 10%
CATE.ST,Success,2790,50,7% and 10%
MTRS.ST,Success,2191,50,7% and 10%
DOM.ST,Success,2563,50,7% and 10%
SINCH.ST,Success,2597,50,7% and 10%
BRAV.ST,Success,2591,50,7% and 10%
INTRUM.ST,Success,2790,50,7% and 10%
INSTAL.ST,Success,2197,50,7% and 10%
BETS-B.ST,Success,2790,50,7% and 10%
VIT-B.ST,Success,2790,50,7% and 10%
BONEX.ST,Success,2169,50,7% and 10%
MIPS.ST,Success,2229,50,7% and 10%
NCC-B.ST,Success,2790,50,7% and 10%
SWEC-B.ST,Success,2790,50,7% and 10%
ALIG.ST,Success,2677,50,7% and 10%
GRNG.ST,Success,2790,50,7% and 10%
PNDX-B.ST,Success,2676,50,7% and 10%
VOLCAR-B.ST,Success,1073,50,7% and 10%
NYF.ST,Success,1804,50,7% and 10%
HEBA-B.ST,Success,2790,50,7% and 10%
SBB-B.ST,Success,2790,50,7% and 10%
RATO-B.ST,Success,2790,50,7% and 10%
CLA-B.ST,Success,2790,50,7% and 10%
BMAX.ST,Success,2790,50,7% and 10%
SYNSAM.ST,Success,1073,50,7% and 10%
RVRC.ST,Success,1169,50,7% and 10%
CLAS-B.ST,Success,2790,50,7% and 10%
KNOW.ST,Success,2790,50,7% and 10%
MEKO.ST,Success,2790,50,7% and 10%
FING-B.ST,Success,2790,50,7% and 10%
AMBEA.ST,Success,2223,50,7% and 10%
